rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,ATL,PHI,1.2166,PASS,NO EDGE,PASS,48.9,51.1
2,LAD,COL,1.1572,YRFI,STRONG,STRONG YRFI,38.0,62.0
3,NYM,CHC,1.0354,NRFI,LEAN,LEAN NRFI,58.1,41.9
4,BAL,CLE,1.0148,PASS,NO EDGE,PASS,51.4,48.6
5,STL,HOU,0.9624,NRFI,LEAN,LEAN NRFI,55.2,44.8
6,TB,PIT,0.9459,NRFI,LEAN,LEAN NRFI,54.4,45.6
7,SF,WSH,0.9402,PASS,NO EDGE,PASS,51.9,48.1
8,CIN,MIN,0.9173,NRFI,LEAN,LEAN NRFI,53.7,46.3
9,SD,LAA,0.9117,PASS,NO EDGE,PASS,49.6,50.4
10,DET,BOS,0.8466,YRFI,LEAN,LEAN YRFI,46.3,53.7
11,CWS,OAK,0.8275,YRFI,LEAN,LEAN YRFI,45.1,54.9
12,TOR,ARI,0.8030,PASS,NO EDGE,PASS,49.9,50.1
13,MIL,MIA,0.7787,YRFI,STRONG,STRONG YRFI,35.0,65.0
14,KC,NYY,0.7579,NRFI,LEAN,LEAN NRFI,54.5,45.5
15,TEX,SEA,0.7135,NRFI,STRONG,STRONG NRFI,67.4,32.6
