rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,NYY,BOS,1.1143,PASS,NO EDGE,PASS,48.5,51.5
2,ATL,WSH,1.0731,NRFI,LEAN,LEAN NRFI,54.0,46.0
3,TOR,LAA,1.0714,YRFI,LEAN,LEAN YRFI,44.7,55.3
4,CWS,ARI,1.0617,PASS,NO EDGE,PASS,48.3,51.7
5,STL,MIA,1.0095,YRFI,LEAN,LEAN YRFI,41.1,58.9
6,OAK,SEA,0.9985,NRFI,STRONG,STRONG NRFI,62.7,37.3
7,SD,COL,0.9548,YRFI,LEAN,LEAN YRFI,40.8,59.2
8,HOU,CLE,0.9526,PASS,NO EDGE,PASS,50.0,50.0
9,PIT,TEX,0.9496,NRFI,LEAN,LEAN NRFI,56.9,43.1
10,MIL,DET,0.8863,PASS,NO EDGE,PASS,48.0,52.0
11,MIN,NYM,0.8622,NRFI,STRONG,STRONG NRFI,60.9,39.1
12,CIN,TB,0.8551,PASS,NO EDGE,PASS,49.4,50.6
13,BAL,KC,0.8410,NRFI,LEAN,LEAN NRFI,56.5,43.5
14,PHI,CHC,0.8202,NRFI,LEAN,LEAN NRFI,57.2,42.8
15,LAD,SF,0.7272,NRFI,LEAN,LEAN NRFI,53.8,46.2
