rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,SD,COL,1.3283,YRFI,STRONG,STRONG YRFI,38.0,62.0
2,ATL,WSH,1.1529,PASS,NO EDGE,PASS,51.9,48.1
3,CWS,ARI,1.1035,YRFI,LEAN,LEAN YRFI,45.7,54.3
4,CIN,TB,0.9387,YRFI,LEAN,LEAN YRFI,44.3,55.7
5,PIT,TEX,0.9343,NRFI,STRONG,STRONG NRFI,61.0,39.0
6,TOR,LAA,0.9273,PASS,NO EDGE,PASS,49.6,50.4
7,HOU,CLE,0.9242,PASS,NO EDGE,PASS,51.4,48.6
8,MIL,DET,0.9170,PASS,NO EDGE,PASS,52.7,47.3
9,BAL,KC,0.9031,PASS,NO EDGE,PASS,51.0,49.0
10,PHI,CHC,0.8517,NRFI,LEAN,LEAN NRFI,58.5,41.5
11,LAD,SF,0.8336,PASS,NO EDGE,PASS,52.2,47.8
12,MIN,NYM,0.8285,NRFI,LEAN,LEAN NRFI,53.7,46.3
13,STL,MIA,0.8249,YRFI,STRONG,STRONG YRFI,35.0,65.0
14,OAK,SEA,0.7979,NRFI,STRONG,STRONG NRFI,67.4,32.6
15,NYY,BOS,0.7597,YRFI,LEAN,LEAN YRFI,46.3,53.7
